sep=;
Time;Usage;Limit;Request
2016-12-08T14:25:00.000Z;null;null;null
2016-12-08T14:25:10.000Z;null;null;null
2016-12-08T14:25:20.000Z;null;null;null
2016-12-08T14:25:30.000Z;null;null;null
2016-12-08T14:25:40.000Z;null;null;null
2016-12-08T14:25:50.000Z;null;null;null
2016-12-08T14:26:00.000Z;null;null;null
2016-12-08T14:26:10.000Z;null;null;null
2016-12-08T14:26:20.000Z;null;null;null
2016-12-08T14:26:30.000Z;null;null;null
2016-12-08T14:26:40.000Z;null;null;null
2016-12-08T14:26:50.000Z;null;null;null
2016-12-08T14:27:00.000Z;null;248;568
2016-12-08T14:27:10.000Z;null;null;null
2016-12-08T14:27:20.000Z;null;null;null
2016-12-08T14:27:30.000Z;null;null;null
2016-12-08T14:27:40.000Z;null;null;null
2016-12-08T14:27:50.000Z;null;null;null
2016-12-08T14:28:00.000Z;57;248;668
2016-12-08T14:28:10.000Z;null;null;null
2016-12-08T14:28:20.000Z;null;null;null
2016-12-08T14:28:30.000Z;null;null;null
2016-12-08T14:28:40.000Z;null;null;null
2016-12-08T14:28:50.000Z;null;null;null
2016-12-08T14:29:00.000Z;120;248;668
2016-12-08T14:29:10.000Z;null;null;null
2016-12-08T14:29:20.000Z;null;null;null
2016-12-08T14:29:30.000Z;null;null;null
2016-12-08T14:29:40.000Z;null;null;null
2016-12-08T14:29:50.000Z;null;null;null
2016-12-08T14:30:00.000Z;412;248;668
2016-12-08T14:30:10.000Z;null;null;null
2016-12-08T14:30:20.000Z;null;null;null
2016-12-08T14:30:30.000Z;null;null;null
2016-12-08T14:30:40.000Z;null;null;null
2016-12-08T14:30:50.000Z;null;null;null
2016-12-08T14:31:00.000Z;130;248;668
2016-12-08T14:31:10.000Z;null;null;null
2016-12-08T14:31:20.000Z;null;null;null
2016-12-08T14:31:30.000Z;null;null;null
2016-12-08T14:31:40.000Z;null;null;null
2016-12-08T14:31:50.000Z;null;null;null
2016-12-08T14:32:00.000Z;129;248;668
2016-12-08T14:32:10.000Z;null;null;null
2016-12-08T14:32:20.000Z;null;null;null
2016-12-08T14:32:30.000Z;null;null;null
2016-12-08T14:32:40.000Z;null;null;null
2016-12-08T14:32:50.000Z;null;null;null
2016-12-08T14:33:00.000Z;266;248;668
2016-12-08T14:33:10.000Z;null;null;null
2016-12-08T14:33:20.000Z;null;null;null
2016-12-08T14:33:30.000Z;null;null;null
2016-12-08T14:33:40.000Z;null;null;null
2016-12-08T14:33:50.000Z;null;null;null
2016-12-08T14:34:00.000Z;1038;248;668
2016-12-08T14:34:10.000Z;null;null;null
2016-12-08T14:34:20.000Z;null;null;null
2016-12-08T14:34:30.000Z;null;null;null
2016-12-08T14:34:40.000Z;null;null;null
2016-12-08T14:34:50.000Z;null;null;null
2016-12-08T14:35:00.000Z;922;248;668
2016-12-08T14:35:10.000Z;null;null;null
2016-12-08T14:35:20.000Z;null;null;null
2016-12-08T14:35:30.000Z;null;null;null
2016-12-08T14:35:40.000Z;null;null;null
2016-12-08T14:35:50.000Z;null;null;null
2016-12-08T14:36:00.000Z;129;248;668
2016-12-08T14:36:10.000Z;null;null;null
2016-12-08T14:36:20.000Z;null;null;null
2016-12-08T14:36:30.000Z;null;null;null
2016-12-08T14:36:40.000Z;null;null;null
2016-12-08T14:36:50.000Z;null;null;null
2016-12-08T14:37:00.000Z;531;248;668
2016-12-08T14:37:10.000Z;null;null;null
2016-12-08T14:37:20.000Z;null;null;null
2016-12-08T14:37:30.000Z;null;null;null
2016-12-08T14:37:40.000Z;null;null;null
2016-12-08T14:37:50.000Z;null;null;null
2016-12-08T14:38:00.000Z;580;248;668
2016-12-08T14:38:10.000Z;null;null;null
2016-12-08T14:38:20.000Z;null;null;null
2016-12-08T14:38:30.000Z;null;null;null
2016-12-08T14:38:40.000Z;null;null;null
2016-12-08T14:38:50.000Z;null;null;null
2016-12-08T14:39:00.000Z;619;248;668
2016-12-08T14:39:10.000Z;null;null;null
2016-12-08T14:39:20.000Z;null;null;null
2016-12-08T14:39:30.000Z;null;null;null
2016-12-08T14:39:40.000Z;null;null;null
2016-12-08T14:39:50.000Z;null;null;null
2016-12-08T14:40:00.000Z;260;248;668
2016-12-08T14:40:10.000Z;null;null;null
2016-12-08T14:40:20.000Z;null;null;null
2016-12-08T14:40:30.000Z;null;null;null
2016-12-08T14:40:40.000Z;null;null;null
2016-12-08T14:40:50.000Z;null;null;null
2016-12-08T14:41:00.000Z;126;248;668
2016-12-08T14:41:10.000Z;null;null;null
2016-12-08T14:41:20.000Z;null;null;null
2016-12-08T14:41:30.000Z;null;null;null
2016-12-08T14:41:40.000Z;null;null;null
2016-12-08T14:41:50.000Z;null;null;null
2016-12-08T14:42:00.000Z;131;248;668
2016-12-08T14:42:10.000Z;null;null;null
2016-12-08T14:42:20.000Z;null;null;null
2016-12-08T14:42:30.000Z;null;null;null
2016-12-08T14:42:40.000Z;null;null;null
2016-12-08T14:42:50.000Z;null;null;null
2016-12-08T14:43:00.000Z;130;248;668
2016-12-08T14:43:10.000Z;null;null;null
2016-12-08T14:43:20.000Z;null;null;null
2016-12-08T14:43:30.000Z;null;null;null
2016-12-08T14:43:40.000Z;null;null;null
2016-12-08T14:43:50.000Z;null;null;null
2016-12-08T14:44:00.000Z;130;248;668
2016-12-08T14:44:10.000Z;null;null;null
2016-12-08T14:44:20.000Z;null;null;null
2016-12-08T14:44:30.000Z;null;null;null
2016-12-08T14:44:40.000Z;null;null;null
2016-12-08T14:44:50.000Z;null;null;null
2016-12-08T14:45:00.000Z;124;248;768
2016-12-08T14:45:10.000Z;null;null;null
2016-12-08T14:45:20.000Z;null;null;null
2016-12-08T14:45:30.000Z;null;null;null
2016-12-08T14:45:40.000Z;null;null;null
2016-12-08T14:45:50.000Z;null;null;null
2016-12-08T14:46:00.000Z;153;248;768
2016-12-08T14:46:10.000Z;null;null;null
2016-12-08T14:46:20.000Z;null;null;null
2016-12-08T14:46:30.000Z;null;null;null
2016-12-08T14:46:40.000Z;null;null;null
2016-12-08T14:46:50.000Z;null;null;null
2016-12-08T14:47:00.000Z;168;248;768
2016-12-08T14:47:10.000Z;null;null;null
2016-12-08T14:47:20.000Z;null;null;null
2016-12-08T14:47:30.000Z;null;null;null
2016-12-08T14:47:40.000Z;null;null;null
2016-12-08T14:47:50.000Z;null;null;null
2016-12-08T14:48:00.000Z;162;248;768
2016-12-08T14:48:10.000Z;null;null;null
2016-12-08T14:48:20.000Z;null;null;null
2016-12-08T14:48:30.000Z;null;null;null
2016-12-08T14:48:40.000Z;null;null;null
2016-12-08T14:48:50.000Z;null;null;null
2016-12-08T14:49:00.000Z;159;248;768
2016-12-08T14:49:10.000Z;null;null;null
2016-12-08T14:49:20.000Z;null;null;null
2016-12-08T14:49:30.000Z;null;null;null
2016-12-08T14:49:40.000Z;null;null;null
2016-12-08T14:49:50.000Z;null;null;null
2016-12-08T14:50:00.000Z;156;248;1068
2016-12-08T14:50:10.000Z;null;null;null
2016-12-08T14:50:20.000Z;null;null;null
2016-12-08T14:50:30.000Z;null;null;null
2016-12-08T14:50:40.000Z;null;null;null
2016-12-08T14:50:50.000Z;null;null;null
2016-12-08T14:51:00.000Z;178;248;1068
2016-12-08T14:51:10.000Z;null;null;null
2016-12-08T14:51:20.000Z;null;null;null
2016-12-08T14:51:30.000Z;null;null;null
2016-12-08T14:51:40.000Z;null;null;null
2016-12-08T14:51:50.000Z;null;null;null
2016-12-08T14:52:00.000Z;144;248;1068
2016-12-08T14:52:10.000Z;null;null;null
2016-12-08T14:52:20.000Z;null;null;null
2016-12-08T14:52:30.000Z;null;null;null
2016-12-08T14:52:40.000Z;null;null;null
2016-12-08T14:52:50.000Z;null;null;null
2016-12-08T14:53:00.000Z;257;248;1068
2016-12-08T14:53:10.000Z;null;null;null
2016-12-08T14:53:20.000Z;null;null;null
2016-12-08T14:53:30.000Z;null;null;null
2016-12-08T14:53:40.000Z;null;null;null
2016-12-08T14:53:50.000Z;null;null;null
2016-12-08T14:54:00.000Z;276;248;1068
2016-12-08T14:54:10.000Z;null;null;null
2016-12-08T14:54:20.000Z;null;null;null
2016-12-08T14:54:30.000Z;null;null;null
2016-12-08T14:54:40.000Z;null;null;null
2016-12-08T14:54:50.000Z;null;null;null
2016-12-08T14:55:00.000Z;271;248;1068
2016-12-08T14:55:10.000Z;null;null;null
2016-12-08T14:55:20.000Z;null;null;null
2016-12-08T14:55:30.000Z;null;null;null
2016-12-08T14:55:40.000Z;null;null;null
2016-12-08T14:55:50.000Z;null;null;null
2016-12-08T14:56:00.000Z;275;248;1068
2016-12-08T14:56:10.000Z;null;null;null
2016-12-08T14:56:20.000Z;null;null;null
2016-12-08T14:56:30.000Z;null;null;null
2016-12-08T14:56:40.000Z;null;null;null
2016-12-08T14:56:50.000Z;null;null;null
2016-12-08T14:57:00.000Z;314;248;1068
2016-12-08T14:57:10.000Z;null;null;null
2016-12-08T14:57:20.000Z;null;null;null
2016-12-08T14:57:30.000Z;null;null;null
2016-12-08T14:57:40.000Z;null;null;null
2016-12-08T14:57:50.000Z;null;null;null
2016-12-08T14:58:00.000Z;274;248;1068
2016-12-08T14:58:10.000Z;null;null;null
2016-12-08T14:58:20.000Z;null;null;null
2016-12-08T14:58:30.000Z;null;null;null
2016-12-08T14:58:40.000Z;null;null;null
2016-12-08T14:58:50.000Z;null;null;null
2016-12-08T14:59:00.000Z;287;248;1068
2016-12-08T14:59:10.000Z;null;null;null
2016-12-08T14:59:20.000Z;null;null;null
2016-12-08T14:59:30.000Z;null;null;null
2016-12-08T14:59:40.000Z;null;null;null
2016-12-08T14:59:50.000Z;null;null;null
2016-12-08T15:00:00.000Z;135;248;668
2016-12-08T15:00:10.000Z;null;null;null
2016-12-08T15:00:20.000Z;null;null;null
2016-12-08T15:00:30.000Z;null;null;null
2016-12-08T15:00:40.000Z;null;null;null
2016-12-08T15:00:50.000Z;null;null;null
2016-12-08T15:01:00.000Z;128;248;668
2016-12-08T15:01:10.000Z;null;null;null
2016-12-08T15:01:20.000Z;null;null;null
2016-12-08T15:01:30.000Z;null;null;null
2016-12-08T15:01:40.000Z;null;null;null
2016-12-08T15:01:50.000Z;null;null;null
2016-12-08T15:02:00.000Z;129;248;668
2016-12-08T15:02:10.000Z;null;null;null
2016-12-08T15:02:20.000Z;null;null;null
2016-12-08T15:02:30.000Z;null;null;null
2016-12-08T15:02:40.000Z;null;null;null
2016-12-08T15:02:50.000Z;null;null;null
2016-12-08T15:03:00.000Z;124;248;668
2016-12-08T15:03:10.000Z;null;null;null
2016-12-08T15:03:20.000Z;null;null;null
2016-12-08T15:03:30.000Z;null;null;null
2016-12-08T15:03:40.000Z;null;null;null
2016-12-08T15:03:50.000Z;null;null;null
2016-12-08T15:04:00.000Z;124;248;668
2016-12-08T15:04:10.000Z;null;null;null
2016-12-08T15:04:20.000Z;null;null;null
2016-12-08T15:04:30.000Z;null;null;null
2016-12-08T15:04:40.000Z;null;null;null
2016-12-08T15:04:50.000Z;null;null;null
2016-12-08T15:05:00.000Z;125;248;668
2016-12-08T15:05:10.000Z;null;null;null
2016-12-08T15:05:20.000Z;null;null;null
2016-12-08T15:05:30.000Z;null;null;null
2016-12-08T15:05:40.000Z;null;null;null
2016-12-08T15:05:50.000Z;null;null;null
2016-12-08T15:06:00.000Z;128;248;668
2016-12-08T15:06:10.000Z;null;null;null
2016-12-08T15:06:20.000Z;null;null;null
2016-12-08T15:06:30.000Z;null;null;null
2016-12-08T15:06:40.000Z;null;null;null
2016-12-08T15:06:50.000Z;null;null;null
2016-12-08T15:07:00.000Z;129;248;668
2016-12-08T15:07:10.000Z;null;null;null
2016-12-08T15:07:20.000Z;null;null;null
2016-12-08T15:07:30.000Z;null;null;null
2016-12-08T15:07:40.000Z;null;null;null
2016-12-08T15:07:50.000Z;null;null;null
2016-12-08T15:08:00.000Z;129;248;668
2016-12-08T15:08:10.000Z;null;null;null
2016-12-08T15:08:20.000Z;null;null;null
2016-12-08T15:08:30.000Z;null;null;null
2016-12-08T15:08:40.000Z;null;null;null
2016-12-08T15:08:50.000Z;null;null;null
2016-12-08T15:09:00.000Z;127;248;668
2016-12-08T15:09:10.000Z;null;null;null
2016-12-08T15:09:20.000Z;null;null;null
2016-12-08T15:09:30.000Z;null;null;null
2016-12-08T15:09:40.000Z;null;null;null
2016-12-08T15:09:50.000Z;null;null;null
2016-12-08T15:10:00.000Z;136;248;1068
2016-12-08T15:10:10.000Z;null;null;null
2016-12-08T15:10:20.000Z;null;null;null
2016-12-08T15:10:30.000Z;null;null;null
2016-12-08T15:10:40.000Z;null;null;null
2016-12-08T15:10:50.000Z;null;null;null
2016-12-08T15:11:00.000Z;253;248;1068
2016-12-08T15:11:10.000Z;null;null;null
2016-12-08T15:11:20.000Z;null;null;null
2016-12-08T15:11:30.000Z;null;null;null
2016-12-08T15:11:40.000Z;null;null;null
2016-12-08T15:11:50.000Z;null;null;null
2016-12-08T15:12:00.000Z;262;248;1068
2016-12-08T15:12:10.000Z;null;null;null
2016-12-08T15:12:20.000Z;null;null;null
2016-12-08T15:12:30.000Z;null;null;null
2016-12-08T15:12:40.000Z;null;null;null
2016-12-08T15:12:50.000Z;null;null;null
2016-12-08T15:13:00.000Z;133;248;668
2016-12-08T15:13:10.000Z;null;null;null
2016-12-08T15:13:20.000Z;null;null;null
2016-12-08T15:13:30.000Z;null;null;null
2016-12-08T15:13:40.000Z;null;null;null
2016-12-08T15:13:50.000Z;null;null;null
2016-12-08T15:14:00.000Z;136;248;668
2016-12-08T15:14:10.000Z;null;null;null
2016-12-08T15:14:20.000Z;null;null;null
2016-12-08T15:14:30.000Z;null;null;null
2016-12-08T15:14:40.000Z;null;null;null
2016-12-08T15:14:50.000Z;null;null;null
2016-12-08T15:15:00.000Z;156;248;668
2016-12-08T15:15:10.000Z;null;null;null
2016-12-08T15:15:20.000Z;null;null;null
2016-12-08T15:15:30.000Z;null;null;null
2016-12-08T15:15:40.000Z;null;null;null
2016-12-08T15:15:50.000Z;null;null;null
2016-12-08T15:16:00.000Z;126;248;668
2016-12-08T15:16:10.000Z;null;null;null
2016-12-08T15:16:20.000Z;null;null;null
2016-12-08T15:16:30.000Z;null;null;null
2016-12-08T15:16:40.000Z;null;null;null
2016-12-08T15:16:50.000Z;null;null;null
2016-12-08T15:17:00.000Z;237;248;668
2016-12-08T15:17:10.000Z;null;null;null
2016-12-08T15:17:20.000Z;null;null;null
2016-12-08T15:17:30.000Z;null;null;null
2016-12-08T15:17:40.000Z;null;null;null
2016-12-08T15:17:50.000Z;null;null;null
2016-12-08T15:18:00.000Z;133;248;668
2016-12-08T15:18:10.000Z;null;null;null
2016-12-08T15:18:20.000Z;null;null;null
2016-12-08T15:18:30.000Z;null;null;null
2016-12-08T15:18:40.000Z;null;null;null
2016-12-08T15:18:50.000Z;null;null;null
2016-12-08T15:19:00.000Z;252;248;668
2016-12-08T15:19:10.000Z;null;null;null
2016-12-08T15:19:20.000Z;null;null;null
2016-12-08T15:19:30.000Z;null;null;null
2016-12-08T15:19:40.000Z;null;null;null
2016-12-08T15:19:50.000Z;null;null;null
2016-12-08T15:20:00.000Z;167;248;668
2016-12-08T15:20:10.000Z;null;null;null
2016-12-08T15:20:20.000Z;null;null;null
2016-12-08T15:20:30.000Z;null;null;null
2016-12-08T15:20:40.000Z;null;null;null
2016-12-08T15:20:50.000Z;null;null;null
2016-12-08T15:21:00.000Z;181;248;668
2016-12-08T15:21:10.000Z;null;null;null
2016-12-08T15:21:20.000Z;null;null;null
2016-12-08T15:21:30.000Z;null;null;null
2016-12-08T15:21:40.000Z;null;null;null
2016-12-08T15:21:50.000Z;null;null;null
2016-12-08T15:22:00.000Z;521;248;668
2016-12-08T15:22:10.000Z;null;null;null
2016-12-08T15:22:20.000Z;null;null;null
2016-12-08T15:22:30.000Z;null;null;null
2016-12-08T15:22:40.000Z;null;null;null
2016-12-08T15:22:50.000Z;null;null;null
2016-12-08T15:23:00.000Z;1036;248;668
2016-12-08T15:23:10.000Z;null;null;null
2016-12-08T15:23:20.000Z;null;null;null
2016-12-08T15:23:30.000Z;null;null;null
2016-12-08T15:23:40.000Z;null;null;null
2016-12-08T15:23:50.000Z;null;null;null
2016-12-08T15:24:00.000Z;329;248;668
2016-12-08T15:24:10.000Z;null;null;null
2016-12-08T15:24:20.000Z;null;null;null
2016-12-08T15:24:30.000Z;null;null;null
2016-12-08T15:24:40.000Z;null;null;null
2016-12-08T15:24:50.000Z;null;null;null
2016-12-08T15:25:00.000Z;151;248;668
2016-12-08T15:25:10.000Z;null;null;null
2016-12-08T15:25:20.000Z;null;null;null
2016-12-08T15:25:30.000Z;null;null;null
2016-12-08T15:25:40.000Z;null;null;null
2016-12-08T15:25:50.000Z;null;null;null
2016-12-08T15:26:00.000Z;130;248;668
2016-12-08T15:26:10.000Z;null;null;null
2016-12-08T15:26:20.000Z;null;null;null
2016-12-08T15:26:30.000Z;null;null;null
2016-12-08T15:26:40.000Z;null;null;null
2016-12-08T15:26:50.000Z;null;null;null
2016-12-08T15:27:00.000Z;126;248;668
2016-12-08T15:27:10.000Z;null;null;null
2016-12-08T15:27:20.000Z;null;null;null
2016-12-08T15:27:30.000Z;null;null;null
2016-12-08T15:27:40.000Z;null;null;null
2016-12-08T15:27:50.000Z;null;null;null
2016-12-08T15:28:00.000Z;128;248;668
2016-12-08T15:28:10.000Z;null;null;null
2016-12-08T15:28:20.000Z;null;null;null
2016-12-08T15:28:30.000Z;null;null;null
2016-12-08T15:28:40.000Z;null;null;null
2016-12-08T15:28:50.000Z;null;null;null
2016-12-08T15:29:00.000Z;153;248;668
2016-12-08T15:29:10.000Z;null;null;null
2016-12-08T15:29:20.000Z;null;null;null
2016-12-08T15:29:30.000Z;null;null;null
2016-12-08T15:29:40.000Z;null;null;null
2016-12-08T15:29:50.000Z;null;null;null
2016-12-08T15:30:00.000Z;125;248;668
2016-12-08T15:30:10.000Z;null;null;null
2016-12-08T15:30:20.000Z;null;null;null
2016-12-08T15:30:30.000Z;null;null;null
2016-12-08T15:30:40.000Z;null;null;null
2016-12-08T15:30:50.000Z;null;null;null
2016-12-08T15:31:00.000Z;125;248;668
2016-12-08T15:31:10.000Z;null;null;null
2016-12-08T15:31:20.000Z;null;null;null
2016-12-08T15:31:30.000Z;null;null;null
2016-12-08T15:31:40.000Z;null;null;null
2016-12-08T15:31:50.000Z;null;null;null
2016-12-08T15:32:00.000Z;136;248;668
2016-12-08T15:32:10.000Z;null;null;null
2016-12-08T15:32:20.000Z;null;null;null
2016-12-08T15:32:30.000Z;null;null;null
2016-12-08T15:32:40.000Z;null;null;null
2016-12-08T15:32:50.000Z;null;null;null
2016-12-08T15:33:00.000Z;151;248;668
2016-12-08T15:33:10.000Z;null;null;null
2016-12-08T15:33:20.000Z;null;null;null
2016-12-08T15:33:30.000Z;null;null;null
2016-12-08T15:33:40.000Z;null;null;null
2016-12-08T15:33:50.000Z;null;null;null
2016-12-08T15:34:00.000Z;128;248;668
2016-12-08T15:34:10.000Z;null;null;null
2016-12-08T15:34:20.000Z;null;null;null
2016-12-08T15:34:30.000Z;null;null;null
2016-12-08T15:34:40.000Z;null;null;null
2016-12-08T15:34:50.000Z;null;null;null
2016-12-08T15:35:00.000Z;130;248;668
2016-12-08T15:35:10.000Z;null;null;null
2016-12-08T15:35:20.000Z;null;null;null
2016-12-08T15:35:30.000Z;null;null;null
2016-12-08T15:35:40.000Z;null;null;null
2016-12-08T15:35:50.000Z;null;null;null
2016-12-08T15:36:00.000Z;129;248;668
2016-12-08T15:36:10.000Z;null;null;null
2016-12-08T15:36:20.000Z;null;null;null
2016-12-08T15:36:30.000Z;null;null;null
2016-12-08T15:36:40.000Z;null;null;null
2016-12-08T15:36:50.000Z;null;null;null
2016-12-08T15:37:00.000Z;125;248;668
2016-12-08T15:37:10.000Z;null;null;null
2016-12-08T15:37:20.000Z;null;null;null
2016-12-08T15:37:30.000Z;null;null;null
2016-12-08T15:37:40.000Z;null;null;null
2016-12-08T15:37:50.000Z;null;null;null
2016-12-08T15:38:00.000Z;132;248;668
2016-12-08T15:38:10.000Z;null;null;null
2016-12-08T15:38:20.000Z;null;null;null
2016-12-08T15:38:30.000Z;null;null;null
2016-12-08T15:38:40.000Z;null;null;null
2016-12-08T15:38:50.000Z;null;null;null
2016-12-08T15:39:00.000Z;132;248;668
2016-12-08T15:39:10.000Z;null;null;null
2016-12-08T15:39:20.000Z;null;null;null
2016-12-08T15:39:30.000Z;null;null;null
2016-12-08T15:39:40.000Z;null;null;null
2016-12-08T15:39:50.000Z;null;null;null
2016-12-08T15:40:00.000Z;318;248;668
2016-12-08T15:40:10.000Z;null;null;null
2016-12-08T15:40:20.000Z;null;null;null
2016-12-08T15:40:30.000Z;null;null;null
2016-12-08T15:40:40.000Z;null;null;null
2016-12-08T15:40:50.000Z;null;null;null
2016-12-08T15:41:00.000Z;645;248;668
2016-12-08T15:41:10.000Z;null;null;null
2016-12-08T15:41:20.000Z;null;null;null
2016-12-08T15:41:30.000Z;null;null;null
2016-12-08T15:41:40.000Z;null;null;null
2016-12-08T15:41:50.000Z;null;null;null
2016-12-08T15:42:00.000Z;642;248;668
2016-12-08T15:42:10.000Z;null;null;null
2016-12-08T15:42:20.000Z;null;null;null
2016-12-08T15:42:30.000Z;null;null;null
2016-12-08T15:42:40.000Z;null;null;null
2016-12-08T15:42:50.000Z;null;null;null
2016-12-08T15:43:00.000Z;590;248;668
2016-12-08T15:43:10.000Z;null;null;null
2016-12-08T15:43:20.000Z;null;null;null
2016-12-08T15:43:30.000Z;null;null;null
2016-12-08T15:43:40.000Z;null;null;null
2016-12-08T15:43:50.000Z;null;null;null
2016-12-08T15:44:00.000Z;212;248;668
2016-12-08T15:44:10.000Z;null;null;null
2016-12-08T15:44:20.000Z;null;null;null
2016-12-08T15:44:30.000Z;null;null;null
2016-12-08T15:44:40.000Z;null;null;null
2016-12-08T15:44:50.000Z;null;null;null
2016-12-08T15:45:00.000Z;168;248;668
2016-12-08T15:45:10.000Z;null;null;null
2016-12-08T15:45:20.000Z;null;null;null
2016-12-08T15:45:30.000Z;null;null;null
2016-12-08T15:45:40.000Z;null;null;null
2016-12-08T15:45:50.000Z;null;null;null
2016-12-08T15:46:00.000Z;149;248;668
2016-12-08T15:46:10.000Z;null;null;null
2016-12-08T15:46:20.000Z;null;null;null
2016-12-08T15:46:30.000Z;null;null;null
2016-12-08T15:46:40.000Z;null;null;null
2016-12-08T15:46:50.000Z;null;null;null
2016-12-08T15:47:00.000Z;135;248;668
2016-12-08T15:47:10.000Z;null;null;null
2016-12-08T15:47:20.000Z;null;null;null
2016-12-08T15:47:30.000Z;null;null;null
2016-12-08T15:47:40.000Z;null;null;null
2016-12-08T15:47:50.000Z;null;null;null
2016-12-08T15:48:00.000Z;137;248;668
2016-12-08T15:48:10.000Z;null;null;null
2016-12-08T15:48:20.000Z;null;null;null
2016-12-08T15:48:30.000Z;null;null;null
2016-12-08T15:48:40.000Z;null;null;null
2016-12-08T15:48:50.000Z;null;null;null
2016-12-08T15:49:00.000Z;154;248;668
2016-12-08T15:49:10.000Z;null;null;null
2016-12-08T15:49:20.000Z;null;null;null
2016-12-08T15:49:30.000Z;null;null;null
2016-12-08T15:49:40.000Z;null;null;null
2016-12-08T15:49:50.000Z;null;null;null
2016-12-08T15:50:00.000Z;137;248;668
2016-12-08T15:50:10.000Z;null;null;null
2016-12-08T15:50:20.000Z;null;null;null
2016-12-08T15:50:30.000Z;null;null;null
2016-12-08T15:50:40.000Z;null;null;null
2016-12-08T15:50:50.000Z;null;null;null
2016-12-08T15:51:00.000Z;99;248;668
2016-12-08T15:51:10.000Z;null;null;null
2016-12-08T15:51:20.000Z;null;null;null
2016-12-08T15:51:30.000Z;null;null;null
2016-12-08T15:51:40.000Z;null;null;null
2016-12-08T15:51:50.000Z;null;null;null
2016-12-08T15:52:00.000Z;105;248;668
2016-12-08T15:52:10.000Z;null;null;null
2016-12-08T15:52:20.000Z;null;null;null
2016-12-08T15:52:30.000Z;null;null;null
2016-12-08T15:52:40.000Z;null;null;null
2016-12-08T15:52:50.000Z;null;null;null
2016-12-08T15:53:00.000Z;89;248;668
2016-12-08T15:53:10.000Z;null;null;null
2016-12-08T15:53:20.000Z;null;null;null
2016-12-08T15:53:30.000Z;null;null;null
2016-12-08T15:53:40.000Z;null;null;null
2016-12-08T15:53:50.000Z;null;null;null
2016-12-08T15:54:00.000Z;86;248;668
2016-12-08T15:54:10.000Z;null;null;null
2016-12-08T15:54:20.000Z;null;null;null
2016-12-08T15:54:30.000Z;null;null;null
2016-12-08T15:54:40.000Z;null;null;null
